label,x1,y1,t1,x2,y2,t2
135,10.712352199999993,54.936454914413396,50598895,10.712352199999993,54.936454914413396,50598895
136,10.712453791117612,54.93648719730168,51337000,10.712453791117612,54.93648719730168,51596483
137,10.70843060000001,54.93681581445458,52617104,10.70843060000001,54.93681581445458,52617104
138,10.713992099524528,54.93733988122575,29813411,10.713992099524528,54.93733988122575,29860578
139,10.804083959457737,54.962229027988876,38978593,10.804083959457737,54.962229027988876,39047000
140,10.84456983999999,54.95233855623244,42691000,10.84456983999999,54.95233855623244,42691000
141,10.84476668108437,54.952507386585154,43796000,10.84476668108437,54.952507386585154,43987000
142,10.853047099810867,54.96378507816602,46335000,10.854580881981489,54.96400251933947,47187000
143,10.854143639502047,54.96795665717339,47907000,10.854143639502047,54.96795665717339,48187000
144,10.856015036664616,55.00009789511203,54848178,10.856015036664616,55.00009789511203,55256000
145,10.406001660264693,55.36803470473311,27224623,10.406001660264693,55.36803470473311,27401206
146,10.430319699999979,55.367395468346345,27958372,10.430319699999979,55.367395468346345,27958372
147,10.429132885134987,55.367220069115994,57828000,10.429132885134987,55.367220069115994,58015000
148,10.4057683,55.367931768419645,58987785,10.4057683,55.367931768419645,58987785
149,10.406301571080517,55.36806361454556,47477059,10.406301571080517,55.36806361454556,47529452
150,10.405787499999985,55.36793676842034,48589698,10.405787499999985,55.36793676842034,48589698
151,10.405246840408864,55.368069942189344,47723431,10.405246840408864,55.368069942189344,47819041
152,10.405761999999978,55.36792976841939,49974800,10.405761999999978,55.36792976841939,49974800
153,10.405651738823476,55.36825948552191,66283357,10.405651738823476,55.36825948552191,66487413
154,10.372054100000003,55.38689267102163,67841200,10.372054100000003,55.38689267102163,67841200
155,10.372035015458808,55.38668563551451,74059023,10.372035015458808,55.38668563551451,74314000
156,10.405756199999995,55.36793766842046,75178716,10.405756199999995,55.36793766842046,75178716
157,10.405901723997067,55.36812051853709,53914604,10.405901723997067,55.36812051853709,54012512
158,10.405768400000005,55.36793616842025,55584176,10.405768400000005,55.36793616842025,55584176
159,10.405995116603133,55.368169841495316,29758868,10.405995116603133,55.368169841495316,29843000
160,10.429903800000012,55.36708226830355,31205805,10.429903800000012,55.36708226830355,31205805
161,10.429888131426294,55.36732704120122,57768945,10.429888131426294,55.36732704120122,57831867
162,10.405777599999993,55.36786946841114,58595449,10.405777599999993,55.36786946841114,58595449
163,10.405980525829182,55.367739868694485,62096412,10.405980525829182,55.367739868694485,62294265
164,10.405809300000014,55.367950768422254,63820054,10.405809300000014,55.367950768422254,63820054
165,10.406774083624839,55.3670841112679,54152681,10.406774083624839,55.3670841112679,54202267
166,10.40579879999999,55.36792086841817,59505654,10.40579879999999,55.36792086841817,59505654
167,10.40601498028265,55.36811468569402,30311044,10.40601498028265,55.36811468569402,30365398
168,10.429903900000015,55.36711756830837,30915369,10.429903900000015,55.36711756830837,30915369
169,10.42956696494672,55.36736557229153,49343000,10.42956696494672,55.36736557229153,49408166
170,10.405813100000007,55.36793486842008,49922251,10.405813100000007,55.36793486842008,49922251
171,10.40536715369656,55.368204769339144,70919708,10.40536715369656,55.368204769339144,71066421
172,10.372058500000014,55.38688537102063,71980169,10.372058500000014,55.38688537102063,71980169
173,10.406004537814967,55.368126992222045,39714428,10.406004537814967,55.368126992222045,39831000
174,10.430041099999997,55.368379068480806,40345001,10.430041099999997,55.368379068480806,40345001
175,10.406156858974185,55.36802078522138,66664822,10.406156858974185,55.36802078522138,66748284
176,10.405812389999996,55.36792964841937,67958000,10.405812389999996,55.36792964841937,67958000
177,10.405418979777592,55.36794894938605,70666081,10.405418979777592,55.36794894938605,71048935
178,10.37202120000001,55.38687537101924,71953979,10.37202120000001,55.38687537101924,71953979
179,10.372372185661078,55.3865148489878,77764936,10.372372185661078,55.3865148489878,77909000
180,10.405784800000006,55.367946068421595,79565801,10.405784800000006,55.367946068421595,79565801
181,10.405865547211508,55.368202693741715,28420845,10.405865547211508,55.368202693741715,28638708
182,10.429846579999996,55.36707153830206,29380000,10.429846579999996,55.36707153830206,29380000
183,10.405540365339863,55.367983424563285,33571721,10.405540365339863,55.367983424563285,33641899
184,10.37200360000001,55.38688197102015,34820110,10.37200360000001,55.38688197102015,34820110
185,10.371906376875298,55.38664497481003,39947962,10.371906376875298,55.38664497481003,40105000
186,10.405802599999996,55.36793396841996,41574436,10.405802599999996,55.36793396841996,41574436
187,10.405563803585496,55.36802147783777,71157669,10.405563803585496,55.36802147783777,71270672
188,10.371870230000003,55.386848021015474,72102000,10.371870230000003,55.386848021015474,72102000
189,10.406068881839888,55.36814282922706,61191039,10.406068881839888,55.36814282922706,61305000
190,10.408415159999997,55.37260980905975,61449000,10.408415159999997,55.37260980905975,61449000
191,10.408621470944583,55.37261291718478,62057066,10.408621470944583,55.37261291718478,62089396
192,10.405756979999996,55.36790919841656,62461000,10.405756979999996,55.36790919841656,62461000
193,10.405500021561599,55.36804943503709,33527550,10.405500021561599,55.36804943503709,33685696
194,10.372279469999999,55.38693542102752,34650000,10.372279469999999,55.38693542102752,34650000
195,10.372719971997428,55.38627318521844,41421000,10.372719971997428,55.38627318521844,41446000
196,10.40574258000001,55.367924058418595,42904000,10.40574258000001,55.367924058418595,42904000
197,10.405905107723315,55.36779721989239,51045587,10.405905107723315,55.36779721989239,51332830
198,10.421572499999987,55.3570606969369,55663000,10.421572499999987,55.3570606969369,55663000
199,10.405320095011515,55.36821879435807,71196108,10.405320095011515,55.36821879435807,71317000
200,10.372077368749995,55.386829239764424,73340000,10.372077368749995,55.386829239764424,74852456
201,10.37212648441432,55.386608846325025,77849438,10.37212648441432,55.386608846325025,78046000
202,10.405812200000003,55.36792156841826,79466304,10.405812200000003,55.36792156841826,79466304
203,10.405586493953667,55.36810412462654,33620686,10.405586493953667,55.36810412462654,33833000
204,10.372061,55.386887671020936,34940758,10.372061,55.386887671020936,34940758
205,10.371715779391954,55.386715131343955,39846000,10.371715779391954,55.386715131343955,39889000
206,10.40578589999368,55.36792801842054,41835286,10.40578589999368,55.36792801842054,41872625
207,10.405949803332877,55.368074248993445,62279534,10.405949803332877,55.368074248993445,62507000
208,10.405718104999117,55.367934633420134,64373000,10.405718104999117,55.367934633420134,64891000
209,10.406093340619929,55.368200933150256,42442712,10.406093340619929,55.368200933150256,42646000
210,10.429902099999978,55.36709086830471,43343882,10.429902099999978,55.36709086830471,43343882
211,10.405474461274988,55.368035611953374,57564314,10.405474461274988,55.368035611953374,57633000
212,10.405788599999989,55.36793746842046,59056420,10.405788599999989,55.36793746842046,59056420
213,6.2941680759636505,55.586892362462955,46467426,6.2941680759636505,55.586892362462955,46804000
214,6.293869599999997,55.586929499724505,48369778,6.293869599999997,55.586929499724505,48369778
215,6.293774223233922,55.58718901620238,52199098,6.293774223233922,55.58718901620238,52341031
216,6.293883199999989,55.586937199725654,53905276,6.293883199999989,55.586937199725654,53905276
217,6.293775040953786,55.587269529863946,71952337,6.293775040953786,55.587269529863946,72037000
218,6.293887899999991,55.58693189972487,73032022,6.293887899999991,55.58693189972487,73032022
219,6.294506267390611,55.586912734483064,68597213,6.294506267390611,55.586912734483064,68717097
220,6.293883000000009,55.58692019972313,71166777,6.293883000000009,55.58692019972313,71166777
221,6.294136332140448,55.58667707530202,49545138,6.294136332140448,55.58667707530202,49656000
222,6.294540819999407,55.582042101497194,50695000,6.294540819999407,55.582042101497194,51408000
223,6.29491584193228,55.58228188732393,53184212,6.29491584193228,55.58228188732393,53217000
224,6.293892119999983,55.5869173497227,53645000,6.293892119999983,55.5869173497227,53645000
225,6.295017112305297,55.586838160309746,70984000,6.295017112305297,55.586838160309746,71054000
