x,y,t
10.374769810000004,55.36338631779887,71548477
10.37477324,55.36328513778508,71550638
10.37476951999999,55.36319574777288,71552782
10.374758599999986,55.363091627758685,71554969
10.374756969999998,55.362977837743145,71557159
10.37476904999999,55.36287837772958,71559314
10.374758129999984,55.36276799771453,71561462
10.374763409999998,55.36265547769917,71563597
10.374780879999996,55.362561097686296,71565747
10.37478646,55.3624481176709,71567887
10.374805229999998,55.362343157656575,71570033
10.374798209999996,55.36213706762848,71574351
10.37478474,55.36201214761142,71576518
10.374766879999996,55.36187870759325,71578656
10.37474456,55.36178299758019,71580828
10.374731189999995,55.36169244756784,71582980
10.37470627000001,55.36160853755639,71585151
10.374722120000001,55.36149606754106,71587309
10.374732050000008,55.361363777523025,71589460
10.374734410000006,55.36126280750927,71591628
10.37475645,55.361144777493166,71593778
10.37475126000001,55.361055097480936,71595918
10.374732209999983,55.36093865746507,71598098
10.37475921999999,55.36084896745286,71600233
10.374770390000013,55.360744107438556,71602398
10.374776320000002,55.3606401874244,71604542
10.374778990000008,55.36054449741136,71606698
10.37479809999999,55.360453457398954,71608642
10.374826580000002,55.36035398738538,71610812
10.374813119999997,55.36026126737275,71612978
10.37479481000001,55.360176197361156,71615143
10.374811179999993,55.360090517349484,71617312
10.374839379999997,55.3600165073394,71619464
10.374842140000002,55.35994161732919,71621618
10.374805570000017,55.35988368732132,71623801
10.37485360000002,55.35978128730735,71625945
10.37490150000001,55.35968969729488,71628093
10.374940179999987,55.35959213728158,71630000
10.374961350000023,55.35952716727274,71631651
10.374896839999998,55.35940647725629,71636024
10.37488065000001,55.35934824724836,71638182
10.374875270000002,55.35925270723535,71640364
10.374928749999999,55.359081957212084,71642530
10.374961379999995,55.359003737201434,71644681
10.375047050000013,55.35888261718494,71646869
10.375069860000004,55.35880045717376,71649041
10.375080149999999,55.358718047162526,71651180
10.375095630000004,55.35864099715203,71653442
10.375080970000017,55.35859496714575,71655612
10.375461120000004,55.35843403712384,71663753
10.375637650000005,55.3584843071307,71665912
10.375857109999995,55.358493927132,71670232
10.375973330000006,55.35850094713296,71672379
10.376150199999989,55.35856781714206,71674533
10.376279880000025,55.35859268714546,71676728
10.376408309999993,55.35861329714827,71678908
10.376529750000016,55.358626917150104,71681068
10.37664117000001,55.35863310715097,71683212
10.376758070000012,55.35863635715139,71685418
10.376902350000009,55.358690667158804,71687563
10.37702995999999,55.358735587164915,71689699
10.37716692,55.35875421716746,71691859
10.37725634000001,55.35876175716847,71694036
10.37735087000001,55.35875657716776,71696199
10.377444139999994,55.358769287169494,71698351
10.37760483999999,55.3588309671779,71700501
10.377713300000002,55.35885712718149,71702645
10.377783269999995,55.358917107189626,71704783
10.377919319999995,55.358925187190735,71706934
10.378037420000004,55.35894311719318,71709070
10.37825928,55.3589940272001,71713328
10.37837304999999,55.359009097202154,71715480
10.378537779999998,55.35900964720224,71717640
10.378612199999989,55.359012537202624,71719783
10.378723429999988,55.359014737202926,71721949
